epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
38,10451.9,0.59041,4.01051,0.20183,0.43118,0.01533,1.55726,0.96782,0.9734,0.98882,0.8461,0.87787,0.84019,0.8392,0.69204,0.43636,2.5459,0.05048,0.25204,0.01448,0,0.00140318,0.00140318,0.00140318
39,10904.6,0.58958,4.00804,0.20079,0.43495,0.01528,1.52204,0.96957,0.97298,0.98846,0.84679,0.86668,0.85166,0.83914,0.69259,0.43257,2.5226,0.04968,0.256,0.0143,0,0.00137444,0.00137444,0.00137444
40,11357.3,0.58295,4.01448,0.20007,0.42594,0.01516,1.54981,0.97025,0.97255,0.98901,0.84922,0.87919,0.84489,0.84816,0.69657,0.43099,2.49095,0.04982,0.25521,0.01425,0,0.00134535,0.00134535,0.00134535
41,11810.1,0.57808,3.90715,0.20214,0.42988,0.01486,1.40793,0.96995,0.97073,0.98903,0.8503,0.87772,0.84525,0.8473,0.69748,0.43078,2.48282,0.04959,0.25512,0.01424,0,0.00131593,0.00131593,0.00131593
42,12263,0.57391,3.8677,0.19741,0.42284,0.01483,1.37809,0.96705,0.97298,0.98864,0.8506,0.87587,0.84644,0.84833,0.69903,0.42808,2.46833,0.04956,0.25482,0.01413,0,0.0012862,0.0012862,0.0012862
43,12715.4,0.57129,3.83147,0.1958,0.42615,0.01474,1.36487,0.96599,0.97439,0.98839,0.852,0.88046,0.84631,0.84909,0.70049,0.42521,2.44522,0.04879,0.25328,0.01404,0,0.0012562,0.0012562,0.0012562
44,451.769,0.56566,3.72819,0.19355,0.41667,0.01449,1.22099,0.96582,0.97426,0.98845,0.85161,0.88132,0.84669,0.85021,0.70202,0.424,2.43302,0.04871,0.25254,0.01398,0,0.00122596,0.00122596,0.00122596
45,881.83,0.56752,3.78014,0.19647,0.41585,0.01457,1.26105,0.96774,0.97604,0.98911,0.85305,0.87924,0.84809,0.84998,0.70374,0.42352,2.43476,0.04802,0.24813,0.01397,0,0.00119551,0.00119551,0.00119551
46,1311.59,0.56546,3.75477,0.19275,0.41538,0.01447,1.21159,0.96786,0.97481,0.98902,0.85364,0.88453,0.843,0.85001,0.7037,0.42373,2.43144,0.0478,0.24707,0.014,0,0.00116487,0.00116487,0.00116487
47,1740.8,0.56476,3.69658,0.19026,0.40591,0.01447,1.18213,0.96997,0.97559,0.98962,0.85413,0.8838,0.84669,0.84976,0.70434,0.42284,2.43992,0.04727,0.24197,0.01397,0,0.00113408,0.00113408,0.00113408
48,2170.98,0.56057,3.69294,0.19142,0.40782,0.01428,1.18925,0.97044,0.97642,0.98958,0.85422,0.87863,0.85103,0.85037,0.70425,0.42112,2.42373,0.04679,0.24322,0.01389,0,0.00110317,0.00110317,0.00110317
49,2601.03,0.55673,3.64627,0.1885,0.4046,0.01426,1.12385,0.97096,0.97572,0.98982,0.85477,0.88684,0.84496,0.85146,0.70693,0.42076,2.41502,0.04612,0.24131,0.01387,0,0.00107216,0.00107216,0.00107216
50,3030.79,0.55722,3.59812,0.18795,0.4097,0.01429,1.05386,0.97065,0.97761,0.98991,0.85446,0.8848,0.84771,0.85144,0.70736,0.42015,2.40898,0.04564,0.23993,0.01385,0,0.0010411,0.0010411,0.0010411
51,3459.64,0.55191,3.59433,0.18605,0.40377,0.01408,1.02185,0.97072,0.97439,0.98973,0.85578,0.88584,0.84644,0.85114,0.70743,0.41918,2.40113,0.04537,0.24232,0.01381,0,0.00101,0.00101,0.00101
52,450.763,0.54154,3.37959,0.18618,0.38829,0.01378,0.89661,0.97036,0.97629,0.98979,0.85551,0.88767,0.84567,0.85097,0.70827,0.41851,2.39237,0.04545,0.24135,0.01378,0,0.000978903,0.000978903,0.000978903
53,877.377,0.54556,3.45295,0.18733,0.3951,0.0139,0.94976,0.97098,0.97528,0.98989,0.85575,0.88783,0.84832,0.85157,0.70871,0.41805,2.3919,0.04541,0.24121,0.01377,0,0.000947837,0.000947837,0.000947837
54,1304.62,0.54312,3.46924,0.18618,0.3984,0.0138,0.92928,0.9709,0.97381,0.98999,0.85635,0.8852,0.85052,0.85218,0.70947,0.41785,2.38662,0.04552,0.24216,0.01376,0,0.000916833,0.000916833,0.000916833
